common.name,genus.species,max.age,age.at.maturity,species.group
Western_Blue_Groper,Achoerodus_gouldii,70,17,Fish
Bronze_Whaler,Carcharhinus_brachyurus,30,20,Shark
Bluethroat_Wrasse,Notolabrus_tetricus,11,6,Fish
Dusky_Whaler,Carcharhinus_obscurus,40,20,Shark
Southern_Eagle_Ray,Myliobatis_goodei,25,8,Ray
Harlequin,Othos_dentex,42,6,Fish
Yellowtail_Kingfish,Seriola_lalandi,12,5,Fish
Snapper,Pagrus_auratus,35,6,Fish
Silver_Trevally,Pseudocaranx_dentex,45,6,Fish
White_Shark,Carcharodon_carcharias,70,25,Shark
