"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,18,41,55,61,70,76,80,89,94,96,98,99
"Harlequin",NA,24,45,58,64,73,79,82,90,95,97,98,99
"Silver_Trevally",NA,8,22,36,44,55,63,68,82,90,93,96,98
"Snapper",NA,2,3,5,7,10,14,18,36,57,68,79,88
"Western_Blue_Groper",NA,2,10,23,31,46,55,62,78,88,92,95,98
"Yellowtail_Kingfish",NA,6,12,18,22,30,36,41,59,75,82,89,94
"Southern_Eagle_Ray",NA,1,2,4,5,9,12,16,32,54,66,77,88
"Bronze_Whaler",NA,0,0,0,0,0,0,0,2,5,9,17,31
"Dusky_Whaler",NA,0,0,0,0,0,0,0,1,2,3,5,12
"White_Shark",NA,0,1,4,5,9,11,14,25,47,60,72,83
