"","X0.1","X500.1","X1000.1","X1500.1","X2000.1","X3000.1","X4000.1","X5000.1","X10000.1","X20000.1","X30000.1","X50000.1","X1e.05.1","X0.2","X500.2","X1000.2","X1500.2","X2000.2","X3000.2","X4000.2","X5000.2","X10000.2","X20000.2","X30000.2","X50000.2","X1e.05.2","X0.3","X500.3","X1000.3","X1500.3","X2000.3","X3000.3","X4000.3","X5000.3","X10000.3","X20000.3","X30000.3","X50000.3","X1e.05.3","X0.4","X500.4","X1000.4","X1500.4","X2000.4","X3000.4","X4000.4","X5000.4","X10000.4","X20000.4","X30000.4","X50000.4","X1e.05.4"
"Bluethroat_Wrasse",NA,20,18,19,17,14,13,11,7,4,3,2,1,NA,33,42,43,40,34,29,27,17,10,7,4,2,NA,18,39,49,50,44,39,34,22,12,9,5,3,NA,9,30,47,51,46,41,36,23,13,9,6,3
"Harlequin",NA,66,62,58,53,44,36,32,19,11,7,5,2,NA,50,64,70,69,57,50,43,26,15,10,6,3,NA,24,45,58,63,54,47,41,25,14,10,6,3,NA,16,36,51,58,51,45,39,24,14,9,6,3
"Silver_Trevally",NA,66,67,67,66,60,54,49,32,19,14,9,5,NA,39,52,60,64,70,68,61,42,25,18,12,6,NA,8,22,36,44,55,60,55,38,23,17,11,6,NA,0,9,25,33,47,55,50,35,22,16,10,5
"Snapper",NA,57,58,58,58,59,58,59,55,44,36,26,15,NA,28,31,33,35,39,43,46,58,60,50,36,22,NA,2,3,5,7,10,14,18,36,52,44,33,20,NA,0,0,1,1,3,6,9,25,46,40,30,19
"Western_Blue_Groper",NA,48,56,59,60,56,51,45,30,17,12,8,4,NA,9,23,36,43,53,51,47,32,18,13,8,4,NA,2,10,23,31,46,48,44,30,18,13,8,4,NA,2,7,18,26,42,45,42,29,17,12,8,4
"Yellowtail_Kingfish",NA,25,25,26,26,25,25,26,22,17,13,9,5,NA,30,34,38,41,45,47,49,50,38,31,22,13,NA,6,12,18,22,29,35,41,54,46,37,26,15,NA,0,4,10,13,21,27,32,50,46,37,27,16
"Southern_Eagle_Ray",NA,39,40,40,40,41,41,41,40,33,27,20,12,NA,18,21,24,25,29,33,37,48,50,42,32,19,NA,1,2,4,5,9,12,16,32,48,41,31,19,NA,0,1,2,3,6,8,10,23,45,39,30,19
"Bronze_Whaler",NA,15,15,15,15,15,16,16,18,21,24,27,31,NA,1,1,1,1,2,2,2,4,9,14,22,36,NA,0,0,0,0,0,0,0,2,5,9,17,31,NA,0,0,0,0,0,0,0,1,5,8,16,28
"Dusky_Whaler",NA,23,23,23,23,24,24,24,25,27,29,31,36,NA,1,1,1,1,1,2,2,2,4,6,10,20,NA,0,0,0,0,0,0,0,1,2,3,5,12,NA,0,0,0,0,0,0,0,1,2,3,5,10
"White_Shark",NA,27,30,33,35,38,41,44,53,56,49,37,23,NA,1,3,5,7,11,14,17,32,53,52,40,25,NA,0,1,4,5,9,11,14,25,47,52,40,25,NA,0,1,3,5,8,11,14,23,46,51,40,24
